poolid;chatid;lowprice;highprice
0xa374094527e1673a86de625aa59517c5de346d32;1300084781;0.7;1.2
0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7;1300084781;0.8;1.2
